Hora inicio: 7/11/2024 08:42:26
3322: SHIP/2024/03305
3067: SHIP/2024/03050
3316: SHIP/2024/03299
3074: SHIP/2024/03057
3066: SHIP/2024/03049
2725: SHIP/2024/02708
3315: SHIP/2024/03298
3117: SHIP/2024/03100
3313: SHIP/2024/03296
3303: SHIP/2024/03286
3094: SHIP/2024/03077
3304: SHIP/2024/03287
3063: SHIP/2024/03046
3048: SHIP/2024/03031
3311: SHIP/2024/03294
3062: SHIP/2024/03045
3104: SHIP/2024/03087
3059: SHIP/2024/03042
3392: SHIP/2024/03375
3301: SHIP/2024/03284
3056: SHIP/2024/03039
3298: SHIP/2024/03281
3298: SHIP/2024/03281
3392: SHIP/2024/03375
3052: SHIP/2024/03035
3297: SHIP/2024/03280
2797: SHIP/2024/02780
3288: SHIP/2024/03271
3288: SHIP/2024/03271
3102: SHIP/2024/03085
3287: SHIP/2024/03270
3285: SHIP/2024/03268
3285: SHIP/2024/03268
3273: SHIP/2024/03256
3274: SHIP/2024/03257
3038: SHIP/2024/03021
3042: SHIP/2024/03025
3027: SHIP/2024/03010
3085: SHIP/2024/03068
3278: SHIP/2024/03261
3181: SHIP/2024/03164
3101: SHIP/2024/03084
3081: SHIP/2024/03064
3284: SHIP/2024/03267
3277: SHIP/2024/03260
3233: SHIP/2024/03216
3129: SHIP/2024/03112
3263: SHIP/2024/03246
3264: SHIP/2024/03247
3179: SHIP/2024/03162
3037: SHIP/2024/03020
3386: SHIP/2024/03369
3032: SHIP/2024/03015
3283: SHIP/2024/03266
3185: SHIP/2024/03168
3401: SHIP/2024/03384
3171: SHIP/2024/03154
3017: SHIP/2024/03000
3025: SHIP/2024/03008
3172: SHIP/2024/03155
3257: SHIP/2024/03240
3117: SHIP/2024/03100
3262: SHIP/2024/03245
3369: SHIP/2024/03352
3068: SHIP/2024/03051
3259: SHIP/2024/03242
3260: SHIP/2024/03243
3023: SHIP/2024/03006
3089: SHIP/2024/03072
3019: SHIP/2024/03002
3025: SHIP/2024/03008
3255: SHIP/2024/03238
3003: SHIP/2024/02986
3171: SHIP/2024/03154
3021: SHIP/2024/03004
3018: SHIP/2024/03001
3137: SHIP/2024/03120
3375: SHIP/2024/03358
3043: SHIP/2024/03026
3256: SHIP/2024/03239
3000: SHIP/2024/02983
3384: SHIP/2024/03367
3363: SHIP/2024/03346
2996: SHIP/2024/02979
2986: SHIP/2024/02969
3362: SHIP/2024/03345
2971: SHIP/2024/02954
3044: SHIP/2024/03027
3358: SHIP/2024/03341
3005: SHIP/2024/02988
2964: SHIP/2024/02947
3254: SHIP/2024/03237
3040: SHIP/2024/03023
3247: SHIP/2024/03230
3250: SHIP/2024/03233
3041: SHIP/2024/03024
2963: SHIP/2024/02946
3157: SHIP/2024/03140
3183: SHIP/2024/03166
3242: SHIP/2024/03225
2873: SHIP/2024/02856
3022: SHIP/2024/03005
3051: SHIP/2024/03034
3102: SHIP/2024/03085
2923: SHIP/2024/02906
3249: SHIP/2024/03232
2805: SHIP/2024/02788
2634: SHIP/2024/02617
2909: SHIP/2024/02892
3248: SHIP/2024/03231
2848: SHIP/2024/02831
2635: SHIP/2024/02618
3359: SHIP/2024/03342
3151: SHIP/2024/03134
3150: SHIP/2024/03133
2937: SHIP/2024/02920
3184: SHIP/2024/03167
3245: SHIP/2024/03228
3354: SHIP/2024/03337
2962: SHIP/2024/02945
3354: SHIP/2024/03337
2871: SHIP/2024/02854
2647: SHIP/2024/02630
3378: SHIP/2024/03361
3353: SHIP/2024/03336
2651: SHIP/2024/02634
3341: SHIP/2024/03324
3072: SHIP/2024/03055
3020: SHIP/2024/03003
3137: SHIP/2024/03120
3062: SHIP/2024/03045
2581: SHIP/2024/02564
3197: SHIP/2024/03180
3135: SHIP/2024/03118
3218: SHIP/2024/03201
3217: SHIP/2024/03200
3205: SHIP/2024/03188
3032: SHIP/2024/03015
3078: SHIP/2024/03061
3320: SHIP/2024/03303
3307: SHIP/2024/03290
3371: SHIP/2024/03354
3197: SHIP/2024/03180
3235: SHIP/2024/03218
3016: SHIP/2024/02999
3109: SHIP/2024/03092
3228: SHIP/2024/03211
3403: SHIP/2024/03386
2976: SHIP/2024/02959
2975: SHIP/2024/02958
